Tweet Id,Date,Hour,User Name,Nickname,Bio,Tweet content,Favs,RTs,Latitude,Longitude,Country,Place (as appears on Bio),Profile picture,Followers,Following,Listed,Tweet language (ISO 639-1),Tweet Url,Is a RT,Original Tweet User Name,User Mentions,Hashtags,Symbols,Media,URLs,Negative,Neutral,Positive,Compound
1105361466041856000 ,2019-03-12,06:54,Neel,nwakodikar,,"RT @Payal_Rohatgi: To @HUL_News, #Masjid is not required to offer Namaz as per Quran so this Holi read Namaz at home. No need to step out.…",,2141,,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,2,6,,en,http://www.twitter.com/nwakodikar/status/1105361466041856000,TRUE,@Payal_Rohatgi,"@Payal_Rohatgi,@HUL_News",#Masjid,,,,0.081,0.919,0.0,-0.296
1105361423134158848 ,2019-03-12,06:54,giriraj chouhan,grajchouhan37,,"RT @YogiDevnathji: ??? ??? ?????? ???? ?? ????? ?????? ??? ???? ????????

#BoycottSurfExcel https://t.co/9VBj3UZbrv",,160,,,,,http://pbs.twimg.com/profile_images/975253090021474304/fhVHxZQs_normal.jpg,169,277,,es,http://www.twitter.com/grajchouhan37/status/1105361423134158848,TRUE,@YogiDevnathji,@YogiDevnathji,#BoycottSurfExcel,,http://pbs.twimg.com/ext_tw_video_thumb/1104966013806796800/pu/img/Mbot7Id0bz-TYypg.jpg,,0.0,1.0,0.0,0.0
1105361402816917507 ,2019-03-12,06:54,Phani_for_NaMo????,NaMo_Phani,"Our Pradhan Sevak, Nation's Pride...","RT @KattarHindu72: #???? ?? ??? #surfexcel ??????? ?? ??? #??????? ?? ??? ??? ???????????
#Bycotthindustanunilever 
#BoycottSurfExcel 
@HUL…",,15,,,,,http://pbs.twimg.com/profile_images/1064470142359203841/4cbuCw2__normal.jpg,1675,1283,10,es,http://www.twitter.com/NaMo_Phani/status/1105361402816917507,TRUE,@KattarHindu72,@KattarHindu72,"#????,#surfexcel,#???????,#Bycotthindustanunilever,#BoycottSurfExcel",,,,0.0,1.0,0.0,0.0
1105361311276253184 ,2019-03-12,06:54,@MahaBharat2019,MahaBharat2019,"?????????? ??????. ? ???? ?? ??? ?? ?????? ???
Every vote against Modi & BJP in 2019 will be Suicidal for India. Only Modiji & Hinduism can save it.","RT @MahaBharat2019: GD Bakshi is an embarrassment for the 72 Jihadi Hoors like Swara Bhaskar. 

Because he keeps the Hoors busy 24×7 by ask…",,121,,,,,http://pbs.twimg.com/profile_images/1103353920032858114/z1oD2-si_normal.jpg,21120,7096,47,en,http://www.twitter.com/MahaBharat2019/status/1105361311276253184,TRUE,@MahaBharat2019,@MahaBharat2019,,,,,0.106,0.803,0.091,-0.1027
1105361201163325441 ,2019-03-12,06:53,Wiivek,wiispeaks,Nationalist  | Motorsports and ?? Enthusiast | Politics Should be  For Good of People = BJP,@IMHitesh23 This thread changed my perception.. How @HUL_News is creeping in slow poison thoughts in the mind of people. #BoycottSurfExcel,1,,,,,,http://pbs.twimg.com/profile_images/1091964502105513985/BG7ZRagw_normal.jpg,18,68,,en,http://www.twitter.com/wiispeaks/status/1105361201163325441,FALSE,,"@IMHitesh23,@HUL_News",#BoycottSurfExcel,,,,0.156,0.844,0.0,-0.5423
1105360726938578949 ,2019-03-12,06:51,©Jha_Avinash™??,ImAjha97,FCA by Profession & Politician by Passion| I believe in Power of the word | Nationalist | Kind hearted |Proud Indian.Big Fan of @NarendraModi & @DrKumarVishwas,"??? ??? ???? ?? ??? 
??? ??? ??, ??? ????? ???

????? ?? ??????? ???? ???? ??? ??
#???_????????? ????? ?? ???????

??????? #???_????????? ?????? ?? ??? ??
100% ????? ??? ??? ???? ???

#BoycottSurfExcel #TuesdayMotivation #TuesdayThoughts https://t.co/h3QG7gDvM8",1,,28.636,77.224,IN,"New Delhi, India",http://pbs.twimg.com/profile_images/1101924489921789958/c8Pkaca8_normal.jpg,2661,2173,17,es,http://www.twitter.com/ImAjha97/status/1105360726938578949,FALSE,,,"#???_?????????,#???_?????????,#BoycottSurfExcel,#TuesdayMotivation,#TuesdayThoughts",,http://pbs.twimg.com/media/D1cHuIwWkAAd9tL.jpg,,0.0,1.0,0.0,0.0
1105360660865593344 ,2019-03-12,06:51,Ganesh Prajapat,Ganesh_Prajapat,"Agriculture Consultant, Social Worker, Humanist, MBA, Agriculture Graduate, President Award Scout, Guar Gum Industry expert, Member Bharatiya Janata Party (BJP)","?? ????? ???? ?? ?????? ?? ???????? ?? ??  ????? ??????? ??? ???? ???????

#BoycottSurfExcel
#BoycottHindustanUnilever",,,26.91962,75.78780999999999,IN,Jaipur-India,http://pbs.twimg.com/profile_images/949354064487137280/L2t2Ykws_normal.jpg,554,1196,,es,http://www.twitter.com/Ganesh_Prajapat/status/1105360660865593344,FALSE,,,"#BoycottSurfExcel,#BoycottHindustanUnilever",,,,0.0,1.0,0.0,0.0
1105360488139911168 ,2019-03-12,06:50,Ganesh Prajapat,Ganesh_Prajapat,"Agriculture Consultant, Social Worker, Humanist, MBA, Agriculture Graduate, President Award Scout, Guar Gum Industry expert, Member Bharatiya Janata Party (BJP)","??? ????? ???? ?? ?????? ?? ???????? ?? ??  ????? ??????? ??? ???? ???????

#BoycottSurfExcel
#BoycottHindustanUnilever",,,26.91962,75.78780999999999,IN,Jaipur-India,http://pbs.twimg.com/profile_images/949354064487137280/L2t2Ykws_normal.jpg,554,1196,,es,http://www.twitter.com/Ganesh_Prajapat/status/1105360488139911168,FALSE,,,"#BoycottSurfExcel,#BoycottHindustanUnilever",,,,0.0,1.0,0.0,0.0
1105360399824764930 ,2019-03-12,06:50,?????? (?????? ?????),JagoHindu22,"???? ??? ???? ??? ????,, ???? TL ???? ?? ??? ?? ????? ???? ,,???? ??? ?? #???? ???,,, #Follow_back 63? ????? ?????? ?? ????? ??DM=block?? Tweet ???? #?????_T","RT @JagoHindu22: ??? ??? ???? ?? ??? 
??? ??? ??, ??? ????? ???

????? ?? ??????? ???? ???? ??? ??
#???_????????? ????? ?? ???????

???????…",,4,,,,,http://pbs.twimg.com/profile_images/1104054416452263937/mvcnM8jV_normal.jpg,4194,1861,1,es,http://www.twitter.com/JagoHindu22/status/1105360399824764930,TRUE,@JagoHindu22,@JagoHindu22,#???_?????????,,,,0.0,1.0,0.0,0.0
1105360315154350080 ,2019-03-12,06:50,?????? (?????? ?????),JagoHindu22,"???? ??? ???? ??? ????,, ???? TL ???? ?? ??? ?? ????? ???? ,,???? ??? ?? #???? ???,,, #Follow_back 63? ????? ?????? ?? ????? ??DM=block?? Tweet ???? #?????_T","??? ??? ???? ?? ??? 
??? ??? ??, ??? ????? ???

????? ?? ??????? ???? ???? ??? ??
#???_????????? ????? ?? ???????

??????? #???_????????? ?????? ?? ??? ??
100% ????? ??? ??? ???? ???

#BoycottSurfExcel https://t.co/LTMX6Wgd15",4,4,,,,,http://pbs.twimg.com/profile_images/1104054416452263937/mvcnM8jV_normal.jpg,4194,1861,1,es,http://www.twitter.com/JagoHindu22/status/1105360315154350080,FALSE,,,"#???_?????????,#???_?????????,#BoycottSurfExcel",,http://pbs.twimg.com/media/D1cHWLbWkAA4POG.jpg,,0.0,1.0,0.0,0.0
