Tweet Id,Date,Hour,User Name,Nickname,Bio,Tweet content,Favs,RTs,Latitude,Longitude,Country,Place (as appears on Bio),Profile picture,Followers,Following,Listed,Tweet language (ISO 639-1),Tweet Url,Is a RT,Original Tweet User Name,User Mentions,Hashtags,Symbols,Media,URLs,Negative,Neutral,Positive,Compound
1105365487632945152 ,2019-03-12,07:10,OFFLINE,SRKsRukayya,"Simply SHAH Ki Cute Fangirl, My Love My Life @iamsrk, No DM Please!",RT @iamsrkJishan: .@TSeries is not just a Music Company.. Now It’s representing India to whole world.. This is humble request to all of us.…,,2,,,,,http://pbs.twimg.com/profile_images/1053623515683938304/quHcCukG_normal.jpg,488,462,2,en,http://www.twitter.com/SRKsRukayya/status/1105365487632945152,TRUE,@iamsrkJishan,"@iamsrkJishan,@TSeries",,,,,0.0,1.0,0.0,0.0
1105361015510786048 ,2019-03-12,06:52,Salman khan,Salmank99113217,,"RT @Koimoi: #TSeriesVSPewDiePie: Almost 23000 subscriptions away, @BeingSalmanKhan &amp; @ajaydevgn jump into the battleground!

@TSeries @pewd…",,18,,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,38,456,,en,http://www.twitter.com/Salmank99113217/status/1105361015510786048,TRUE,@Koimoi,"@Koimoi,@BeingSalmanKhan,@ajaydevgn,@TSeries",#TSeriesVSPewDiePie,,,,0.166,0.834,0.0,-0.4574
1105360083020644352 ,2019-03-12,06:49,Anshu Pandey ????,SRK_anshu,"Do not judge me before u know me, but just to inform u, you won’t like me.?Account Not Affiliated to @iamsrk .Tweets are personal","RT @Koimoi: #TSeriesVSPewDiePie: Almost 23000 subscriptions away, @BeingSalmanKhan &amp; @ajaydevgn jump into the battleground!

@TSeries @pewd…",,18,28.654,77.229,IN,"New Delhi, India",http://pbs.twimg.com/profile_images/1102991720743002112/6dwhxnJ1_normal.jpg,14162,1300,32,en,http://www.twitter.com/SRK_anshu/status/1105360083020644352,TRUE,@Koimoi,"@Koimoi,@BeingSalmanKhan,@ajaydevgn,@TSeries",#TSeriesVSPewDiePie,,,,0.166,0.834,0.0,-0.4574
1105358997974966272 ,2019-03-12,06:44,Being Human,yashkhan85,A Fan of Bollywood Mega Star & Golden Heart Salman Khan NGO.,"RT @Koimoi: #TSeriesVSPewDiePie: Almost 23000 subscriptions away, @BeingSalmanKhan &amp; @ajaydevgn jump into the battleground!

@TSeries @pewd…",,18,,,,,http://pbs.twimg.com/profile_images/994510118090780672/UnkAoKJC_normal.jpg,134,261,4,en,http://www.twitter.com/yashkhan85/status/1105358997974966272,TRUE,@Koimoi,"@Koimoi,@BeingSalmanKhan,@ajaydevgn,@TSeries",#TSeriesVSPewDiePie,,,,0.166,0.834,0.0,-0.4574
1105357212816297985 ,2019-03-12,06:37,BHARAT,BeingSkChetan,HINDUSTANI?,"RT @Koimoi: #TSeriesVSPewDiePie: Almost 23000 subscriptions away, @BeingSalmanKhan &amp; @ajaydevgn jump into the battleground!

@TSeries @pewd…",,18,,,,,http://pbs.twimg.com/profile_images/1105185263842545664/3RlfLVHc_normal.jpg,7442,526,53,en,http://www.twitter.com/BeingSkChetan/status/1105357212816297985,TRUE,@Koimoi,"@Koimoi,@BeingSalmanKhan,@ajaydevgn,@TSeries",#TSeriesVSPewDiePie,,,,0.166,0.834,0.0,-0.4574
1105356521725181952 ,2019-03-12,06:35,?????? ????????? ??? ?????,Its_Sr7,"Proud INDIAN, here for @BeingSalmanKhan @SGanguly99 @ABdeVilliers17 & ??? @jenwinget
Waiting for #Bharat, #Kick2, #Tiger3 cont...","RT @Koimoi: #TSeriesVSPewDiePie: Almost 23000 subscriptions away, @BeingSalmanKhan &amp; @ajaydevgn jump into the battleground!

@TSeries @pewd…",,18,28.63576,77.22445,IN,India,http://pbs.twimg.com/profile_images/1088698678414577665/e2aQuPfh_normal.jpg,443,247,6,en,http://www.twitter.com/Its_Sr7/status/1105356521725181952,TRUE,@Koimoi,"@Koimoi,@BeingSalmanKhan,@ajaydevgn,@TSeries",#TSeriesVSPewDiePie,,,,0.166,0.834,0.0,-0.4574
1105355560759701505 ,2019-03-12,06:31,SnehaSaleem,Snehasaleem1,,"RT @Koimoi: #TSeriesVSPewDiePie: Almost 23000 subscriptions away, @BeingSalmanKhan &amp; @ajaydevgn jump into the battleground!

@TSeries @pewd…",,18,,,,,http://pbs.twimg.com/profile_images/1100146164811231232/4fiSY6FU_normal.jpg,106,323,,en,http://www.twitter.com/Snehasaleem1/status/1105355560759701505,TRUE,@Koimoi,"@Koimoi,@BeingSalmanKhan,@ajaydevgn,@TSeries",#TSeriesVSPewDiePie,,,,0.166,0.834,0.0,-0.4574
1105355317834014721 ,2019-03-12,06:30,prince kumar,salman_fandom_,"? ?Being Human?Man wid pure heart
@beingsalmankhan is my lifeline??

@Asli_jacqueline n #katrinakaif is my bae??
#RohiRat @mipaltan #Duniyahiladengehum","RT @Koimoi: #TSeriesVSPewDiePie: Almost 23000 subscriptions away, @BeingSalmanKhan &amp; @ajaydevgn jump into the battleground!

@TSeries @pewd…",,18,25.60222,85.11936,IN,"Patna, India",http://pbs.twimg.com/profile_images/1062024823243595776/dlTePGWR_normal.jpg,398,1632,,en,http://www.twitter.com/salman_fandom_/status/1105355317834014721,TRUE,@Koimoi,"@Koimoi,@BeingSalmanKhan,@ajaydevgn,@TSeries",#TSeriesVSPewDiePie,,,,0.166,0.834,0.0,-0.4574
1105353350315474945 ,2019-03-12,06:22,Ankul Choudhry,AnkulChoudhry,"it’s Me, Real CHOUDHRY",RT @iamsrkJishan: .@TSeries is not just a Music Company.. Now It’s representing India to whole world.. This is humble request to all of us.…,,1,,,,,http://pbs.twimg.com/profile_images/1093852218531426304/EPgrs8z__normal.jpg,179,348,1,en,http://www.twitter.com/AnkulChoudhry/status/1105353350315474945,TRUE,@iamsrkJishan,"@iamsrkJishan,@TSeries",,,,,0.0,1.0,0.0,0.0
1105353163605852166 ,2019-03-12,06:21,V I N A Y,Vinay_kajay,"|| Salmaan & Ajay ||

???? Kajal Aggarwal ????

|| TAANAJI & PARIS PARIS ||

|| Not like Shradha ||","RT @Koimoi: #TSeriesVSPewDiePie: Almost 23000 subscriptions away, @BeingSalmanKhan &amp; @ajaydevgn jump into the battleground!

@TSeries @pewd…",,18,,,,,http://pbs.twimg.com/profile_images/1081859014579806209/kajtYvQl_normal.jpg,715,74,3,en,http://www.twitter.com/Vinay_kajay/status/1105353163605852166,TRUE,@Koimoi,"@Koimoi,@BeingSalmanKhan,@ajaydevgn,@TSeries",#TSeriesVSPewDiePie,,,,0.166,0.834,0.0,-0.4574
1105352721840988160 ,2019-03-12,06:20,JISHAN.,iamsrkJishan,???? ???????? ???????? ????????? ???????? ????????? ????????????? ?????????????$??? ?U?? ??????????? ?????? ?????????? ???? ??? ???G @iamsrk??,".@TSeries is not just a Music Company.. Now It’s representing India to whole world.. This is humble request to all of us.. Please subscribe TSeries on YouTube asap. #JaiHind ????

Vote Here for TSeries.
Link: https://t.co/6QYBdS4ODx 
#TseriesVsPewDiePie
#BharatWinsYouTube ????",5,2,36.28069,-80.35921999999999,US,King’s Land,http://pbs.twimg.com/profile_images/1104296907395006464/dsEfDNkU_normal.jpg,12700,635,15,en,http://www.twitter.com/iamsrkJishan/status/1105352721840988160,FALSE,,@TSeries,"#JaiHind,#TseriesVsPewDiePie,#BharatWinsYouTube",,,http://strawpoll.me/16394025,0.0,0.941,0.059,0.3182
1105349791762927616 ,2019-03-12,06:08,Rockstar_Tiger,HarshTigerian,"#SOTY2 releases on 10/05/2k19
Tiger Sir ka sabse bada fan in this whole world.. ?????
Luv u Tiger Bhaiya (INSPIRATION)
UP Next:- #Rambo #Baaghi3 #HrithikVsTiger","RT @Koimoi: #TSeriesVSPewDiePie: Almost 23000 subscriptions away, @BeingSalmanKhan &amp; @ajaydevgn jump into the battleground!

@TSeries @pewd…",,18,17.91331,77.5301,IN,"Bidar, India",http://pbs.twimg.com/profile_images/1101750546266959874/DJh4n6S6_normal.jpg,674,100,2,en,http://www.twitter.com/HarshTigerian/status/1105349791762927616,TRUE,@Koimoi,"@Koimoi,@BeingSalmanKhan,@ajaydevgn,@TSeries",#TSeriesVSPewDiePie,,,,0.166,0.834,0.0,-0.4574
